,Unnamed: 0,Timestamp,Age,Gender,Income, Occupation,Fav_Pub,WTS,Freq,Prim_Imp,Sec_Imp,Stratum,Lifestyle,Occasions
90,90,"2017/02/26 10:21:38 AM GMT+4,18,Male,150000,Student,Dargett,10000,Several times in a month,Environment,Menu,Urban,""Busy(student life, work)"",Hang outs with friends",,,,,,,,,,,,
91,91,"2017/02/26 10:48:32 AM GMT+4,21,Female,60000,Student + working,DAS,5000,rarely (once two week/or a month),Environment,Music,Capital,""Busy(student life, work)"",Special events/parties",,,,,,,,,,,,
92,92,"2017/02/26 11:00:04 AM GMT+4,17,Male,50000,Student,Pub 007,4000,rarely (once two week/or a month),Environment,Pricing,Urban,""Busy(student life, work)"",Hang outs with friends",,,,,,,,,,,,
93,93,"2017/02/26 11:10:04 AM GMT+4,20,Female,400,Student + working,Pub 37,5000,rarely (once two week/or a month),Environment,Pricing,Capital,""Busy(student life, work)"",Hang outs with friends",,,,,,,,,,,,
94,94,"2017/02/26 11:14:33 AM GMT+4,23,Female,700000,Working,NA,5000,rarely (once two week/or a month),Environment,Menu,Capital,""Busy(student life, work)"",Hang outs with friends",,,,,,,,,,,,
95,95,"2017/02/26 11:27:08 AM GMT+4,18,Female,30000,Student,Pepper,2500,Several times in a month,Environment,Music,Urban,""Busy(student life, work)"",Hang outs with friends",,,,,,,,,,,,
96,96,2017/02/26 11:34:23 AM GMT+4,21.0,Female,200000.0,Student,Venue,2000.0,Several times a week,Music,Environment,Capital,Nightlife,Hang outs with friends
97,97,"2017/02/26 11:37:59 AM GMT+4,18,Female,100000,Student + working,Calumet,7000,Several times a week,Music,Menu,Capital,""Busy(student life, work)"",Hang outs with friends",,,,,,,,,,,,
98,98,"2017/02/26 11:38:19 AM GMT+4,18,Female,60000,Student,Station,5000,rarely (once two week/or a month),Environment,Music,Capital,""Busy(student life, work)"",Hang outs with friends",,,,,,,,,,,,
99,99,2017/02/26 11:57:41 AM GMT+4,20.0,Male,900000.0,Student + working,Calumet,10000.0,rarely (once two week/or a month),Environment,Music,Capital,Adventure/traveling/exploring,Birthdays
100,100,"2017/02/26 12:12:16 PM GMT+4,21,Female,50000,Student + working,Calumet,2000,Several times in a month,Environment,Music,Capital,""Busy(student life, work)"",Hang outs with friends",,,,,,,,,,,,
101,101,2017/02/26 12:22:31 PM GMT+4,19.0,Female,70000.0,Student,Paparazzi ,3000.0,Several times in a month,Music,Pricing,Capital,Adventure/traveling/exploring,Hang outs with friends
102,102,"2017/02/26 12:37:43 PM GMT+4,18,Male,80000,Student,Pepper,20000,Several times a week,Environment,Menu,Capital,""Busy(student life, work)"",Hang outs with friends",,,,,,,,,,,,
103,103,2017/02/26 12:42:39 PM GMT+4,18.0,Female,20000.0,Student,Do not have one,4000.0,rarely (once two week/or a month),Music,Environment,Urban,Art,Special events/parties
104,104,"2017/02/26 12:51:15 PM GMT+4,20,Female,100000,Student + working,Station,5000,rarely (once two week/or a month),Environment,Menu,Capital,""Busy(student life, work)"",Hang outs with friends",,,,,,,,,,,,
105,105,"2017/02/26 1:23:15 PM GMT+4,18,Male,40000,Student,Irish,10000,rarely (once two week/or a month),Environment,Pricing,Capital,""Busy(student life, work)"",Hang outs with friends",,,,,,,,,,,,
106,106,"2017/02/26 1:54:01 PM GMT+4,21,Female,20000,Student + working,Calumet,3000,rarely (once two week/or a month),Environment,Music,Capital,""Busy(student life, work)"",Hang outs with friends",,,,,,,,,,,,
107,107,2017/02/26 1:57:22 PM GMT+4,19.0,Male,0.0,Student,Station,1500.0,Several times in a month,Menu,Environment,Urban,Sport,Hang outs with friends
108,108,2017/02/26 1:58:40 PM GMT+4,20.0,Male,900000.0,Student + working,Calumet,10000.0,rarely (once two week/or a month),Environment,Music,Capital,Adventure/traveling/exploring,Birthdays
109,109,2017/02/26 2:42:20 PM GMT+4,20.0,Male,60000.0,Student + working,,5000.0,rarely (once two week/or a month),Music,Menu,Urban,Art,Hang outs with friends
110,110,2017/02/26 2:49:46 PM GMT+4,22.0,Male,4500000.0,Entrepreneur / Software Engineer,Irish,15000.0,rarely (once two week/or a month),Environment,Menu,Capital,Adventure/traveling/exploring,Hang outs with friends
111,111,"2017/02/26 3:52:57 PM GMT+4,23,Male,100000,Student + working,Cantaloupe,5000,rarely (once two week/or a month),Environment,Menu,Capital,""Busy(student life, work)"",Hang outs with friends",,,,,,,,,,,,
112,112,2017/02/26 4:39:59 PM GMT+4,20.0,Male,50000.0,Student + working,I don't like pubs,2000.0,rarely (once two week/or a month),Environment,Music,Capital,Art,Hang outs with friends
113,113,"2017/02/26 5:35:57 PM GMT+4,18,Male,90000,Student,Station,5000,rarely (once two week/or a month),Environment,Menu,Capital,""Busy(student life, work)"",Hang outs with friends",,,,,,,,,,,,
114,114,"2017/02/26 5:39:55 PM GMT+4,20,Female,0,Student,Pepper,5000,Several times in a month,Environment,Menu,Urban,""Busy(student life, work)"",Hang outs with friends",,,,,,,,,,,,
115,115,2017/02/26 6:20:06 PM GMT+4,19.0,Female,30000.0,Student,Calumet,2000.0,Several times in a month,Music,Menu,Urban,Art,Hang outs with friends
116,116,2017/02/26 6:40:19 PM GMT+4,18.0,Male,150000.0,Student + working,Station,5000.0,rarely (once two week/or a month),Environment,Music,Capital,Adventure/traveling/exploring,Hang outs with friends
117,117,"2017/02/26 6:40:32 PM GMT+4,20,Female,50000,Student,Pub 37,3000,rarely (once two week/or a month),Environment,Menu,Capital,""Busy(student life, work)"",Hang outs with friends",,,,,,,,,,,,
118,118,"2017/02/26 8:18:38 PM GMT+4,19,Male,0,army,kaptyorka,NA,rarely (once two week/or a month),Environment,Menu,Capital,""Busy(student life, work)"",NA",,,,,,,,,,,,
119,119,2017/02/26 9:32:07 PM GMT+4,18.0,Male,60000.0,Student + working,Station,2000.0,Several times in a month,Environment,Menu,Capital,Nightlife,Hang outs with friends
120,120,2017/02/26 10:28:49 PM GMT+4,26.0,Female,170000.0,Working,Station,5000.0,rarely (once two week/or a month),Music,Environment,Capital,Adventure/traveling/exploring,Hang outs with friends
121,121,2017/02/26 11:33:30 PM GMT+4,18.0,Female,0.0,Student,DAS ,3000.0,Several times in a month,Music,Environment,Capital,Adventure/traveling/exploring,Special events/parties
122,122,"2017/02/26 11:52:12 PM GMT+4,39,Male,384000,Working,Paulaner,10000,rarely (once two week/or a month),Menu,Environment,Rural,""Busy(student life, work)"",Hang outs with friends",,,,,,,,,,,,
123,123,2017/02/27 12:00:55 AM GMT+4,20.0,Female,0.0,Student,Wild west,1000.0,Several times a week,Environment,Pricing,Capital,Adventure/traveling/exploring,Hang outs with friends
124,124,2017/02/27 1:57:49 AM GMT+4,21.0,Female,120000.0,Student + working,BullDog,30000.0,Several times a week,Environment,Music,Capital,Art,Hang outs with friends
125,125,2017/02/27 7:51:32 AM GMT+4,18.0,Female,120000.0,Student,Tom collins,10000.0,rarely (once two week/or a month),Music,Pricing,Capital,Sport,Hang outs with friends
126,126,"2017/02/27 1:08:03 PM GMT+4,21,Male,0,Student,Calumet,2000,rarely (once two week/or a month),Environment,Pricing,Urban,""Busy(student life, work)"",Hang outs with friends",,,,,,,,,,,,
127,127,2017/02/27 2:38:24 PM GMT+4,22.0,Female,0.0,Student,Calumet,3000.0,Several times in a month,Music,Environment,Capital,Adventure/traveling/exploring,Hang outs with friends
128,128,"2017/02/27 7:47:16 PM GMT+4,18,Female,0,Student,Pepper,2000,rarely (once two week/or a month),Environment,Pricing,Capital,""Busy(student life, work)"",Hang outs with friends",,,,,,,,,,,,
129,129,"2017/02/27 9:40:18 PM GMT+4,20,Male,80000,Student,Paulaner,15000,rarely (once two week/or a month),Environment,Menu,Capital,""Busy(student life, work)"",Hang outs with friends",,,,,,,,,,,,
130,130,2017/02/27 10:00:03 PM GMT+4,19.0,Male,,Student,Station,2000.0,Several times in a month,Pricing,Music,Capital,Sport,Hang outs with friends
131,131,"2017/02/27 10:30:03 PM GMT+4,18,Female,100000,Student,NA,10000,rarely (once two week/or a month),Environment,Music,Urban,""Busy(student life, work)"",Birthdays",,,,,,,,,,,,
132,132,2017/02/28 5:29:51 PM GMT+4,19.0,Female,40000.0,Student,I don't like pubs,5000.0,rarely (once two week/or a month),Environment,Music,Capital,Adventure/traveling/exploring,Hang outs with friends
133,133,"2017/03/01 11:53:23 PM GMT+4,20,Female,60000,Student,Calumet,2000,rarely (once two week/or a month),Environment,Menu,Urban,""Busy(student life, work)"",Hang outs with friends",,,,,,,,,,,,
134,134,2017/03/02 1:43:04 AM GMT+4,18.0,Female,50000.0,Student,Station,5000.0,rarely (once two week/or a month),Environment,Menu,Capital,Art,Hang outs with friends
135,135,"2017/03/02 1:46:19 AM GMT+4,23,Male,250000,Student + working,NA,5000,Several times in a month,Environment,Pricing,Capital,""Busy(student life, work)"",Hang outs with friends",,,,,,,,,,,,
136,136,"2017/03/02 1:47:57 AM GMT+4,19,Female,30000,Student,Bob's,5000,rarely (once two week/or a month),Music,Menu,Capital,""Busy(student life, work)"",Special events/parties",,,,,,,,,,,,
137,137,"2017/03/02 1:57:36 AM GMT+4,23,Male,55000,Student + working,Bulldog,5000,Several times in a month,Environment,Menu,Capital,""Busy(student life, work)"",Hang outs with friends",,,,,,,,,,,,
138,138,2017/03/02 2:02:23 AM GMT+4,21.0,Female,70000.0,Student + working,Fiction,2000.0,Several times a week,Environment,Music,Capital,Adventure/traveling/exploring,Hang outs with friends
139,139,2017/03/02 2:04:30 AM GMT+4,21.0,Male,80000.0,Student + working,Tom Collins,20000.0,Several times in a month,Music,Menu,Urban,Adventure/traveling/exploring,Hang outs with friends
140,140,"2017/03/02 2:14:01 AM GMT+4,19,Female,100000,Student + working,Bob's,6000,rarely (once two week/or a month),Music,Environment,Capital,""Busy(student life, work)"",Hang outs with friends",,,,,,,,,,,,
141,141,2017/03/02 2:28:20 AM GMT+4,21.0,Male,120000.0,Student,The beatles,5000.0,Several times a week,Music,Environment,Capital,Nightlife,Hang outs with friends
142,142,"2017/03/02 2:30:37 AM GMT+4,19,Female,0,Student,Irish,5000,rarely (once two week/or a month),Environment,Music,Capital,""Busy(student life, work)"",Hang outs with friends",,,,,,,,,,,,
143,143,"2017/03/02 2:51:54 AM GMT+4,16,Female,0,Student,Calumet,5000,rarely (once two week/or a month),Environment,Menu,Urban,""Busy(student life, work)"",Hang outs with friends",,,,,,,,,,,,
144,144,"2017/03/02 3:03:06 AM GMT+4,21,Female,150000,Student,Cantaloupe,3000,Several times in a month,Music,Environment,Capital,""Busy(student life, work)"",Hang outs with friends",,,,,,,,,,,,
145,145,"2017/03/02 3:40:49 AM GMT+4,21,Female,30000,Student,Station,5000,Several times in a month,Environment,Music,Capital,""Busy(student life, work)"",Hang outs with friends",,,,,,,,,,,,
146,146,"2017/03/02 4:04:39 AM GMT+4,21,Female,120000,Student + working,Cantaloupe,5000,rarely (once two week/or a month),Music,Environment,Capital,""Busy(student life, work)"",Hang outs with friends",,,,,,,,,,,,
147,147,"2017/03/02 6:58:43 AM GMT+4,20,Male,10000,Student,Fiction,2500,Several times in a month,Environment,Pricing,Capital,""Busy(student life, work)"",Hang outs with friends",,,,,,,,,,,,
148,148,"2017/03/02 7:07:55 AM GMT+4,18,Female,0,Student,Calumet,2000,Several times in a month,Environment,Music,Capital,""Busy(student life, work)"",Hang outs with friends",,,,,,,,,,,,
149,149,"2017/03/02 7:54:28 AM GMT+4,21,Male,100000,Student + working,Irish,10000,rarely (once two week/or a month),Environment,Music,Capital,""Busy(student life, work)"",Hang outs with friends",,,,,,,,,,,,
150,150,"2017/03/02 8:11:53 AM GMT+4,18,Female,20000,Student,Pepper,1000,Several times in a month,Environment,Pricing,Capital,""Busy(student life, work)"",Special events/parties",,,,,,,,,,,,
151,151,"2017/03/02 8:36:37 AM GMT+4,20,Male,200000,Student + working,Ulixanyan art club,4000,Several times a week,Environment,Music,Capital,""Rock, punk"",Hang outs with friends",,,,,,,,,,,,
152,152,"2017/03/02 9:34:40 AM GMT+4,20,Female,30000,Student,Simona,5000,Several times in a month,Environment,Pricing,Capital,""Busy(student life, work)"",Hang outs with friends",,,,,,,,,,,,
153,153,"2017/03/02 10:31:46 AM GMT+4,20,Male,40000,Student,Station,3000,rarely (once two week/or a month),Environment,Pricing,Capital,""Busy(student life, work)"",Hang outs with friends",,,,,,,,,,,,
154,154,2017/03/02 11:26:42 AM GMT+4,20.0,Female,150000.0,Student,I don't like pubs,,rarely (once two week/or a month),Environment,Music,Capital,Adventure/traveling/exploring,Hang outs with friends
155,155,2017/03/02 11:58:38 AM GMT+4,19.0,Female,0.0,Student,Liberty ,3000.0,Several times in a month,Music,Menu,Capital,Adventure/traveling/exploring,Hang outs with friends
156,156,"2017/03/02 1:02:41 PM GMT+4,18,Female,300000,Student,Speak Easy ,2000,rarely (once two week/or a month),Music,Environment,Capital,""Busy(student life, work)"",For listening  good music ",,,,,,,,,,,,
157,157,2017/03/02 1:36:47 PM GMT+4,18.0,Female,5000.0,Student,Irish,10000.0,Several times in a month,Music,Pricing,Capital,Art,Birthdays
158,158,2017/03/02 2:11:25 PM GMT+4,20.0,Male,50000.0,Student,Irish,5000.0,rarely (once two week/or a month),Environment,Menu,Capital,Sport,Special events/parties
159,159,"2017/03/02 4:19:55 PM GMT+4,18,Female,35000,Student,Station,10000,rarely (once two week/or a month),Music,Environment,Capital,""Busy(student life, work)"",Special events/parties",,,,,,,,,,,,
160,160,2017/03/02 5:27:32 PM GMT+4,19.0,Female,0.0,Student,I don't like pubs,15000.0,rarely (once two week/or a month),Environment,Music,Capital,Adventure/traveling/exploring,Birthdays
161,161,"2017/03/02 7:01:50 PM GMT+4,17,Male,0,Student,Liberty,3000,rarely (once two week/or a month),Music,Environment,Capital,""Busy(student life, work)"",Hang outs with friends",,,,,,,,,,,,
162,162,2017/03/02 7:14:56 PM GMT+4,19.0,Male,30000.0,Student,Beer Academy,5000.0,Several times in a month,Environment,Menu,Capital,Adventure/traveling/exploring,Hang outs with friends
163,163,"2017/03/02 7:27:21 PM GMT+4,18,Female,60000,Student,Station,3000,rarely (once two week/or a month),Music,Environment,Rural,""Busy(student life, work)"",Birthdays",,,,,,,,,,,,
164,164,"2017/03/02 9:51:00 PM GMT+4,18,Female,0,Student,Ulixanyan art club,1500,Several times in a month,Music,Environment,Capital,""Busy(student life, work)"",Hang outs with friends",,,,,,,,,,,,
165,165,"2017/03/02 10:07:08 PM GMT+4,17,Female,20000,Student,Pepper,3000,rarely (once two week/or a month),Music,Menu,Urban,""Busy(student life, work)"",Hang outs with friends",,,,,,,,,,,,
166,166,"2017/03/02 10:16:53 PM GMT+4,19,Male,40000,Student,Yankee,10000,Several times in a month,Environment,Music,Urban,""Busy(student life, work)"",Hang outs with friends",,,,,,,,,,,,
167,167,"2017/03/02 10:20:02 PM GMT+4,26,Male,190000,Working ,NA,10000,Several times in a month,Music,Environment,Capital,""Busy(student life, work)"",Hang outs with friends",,,,,,,,,,,,
168,168,"2017/03/02 11:07:52 PM GMT+4,19,Female,40000,Student + working,Liberty ,2000,Several times a week,Environment,Music,Capital,""Busy(student life, work)"",Hang outs with friends",,,,,,,,,,,,
169,169,"2017/03/03 1:11:01 AM GMT+4,20,Female,70000,Student + working,Calumet,3000,rarely (once two week/or a month),Environment,Pricing,Capital,""Busy(student life, work)"",Hang outs with friends",,,,,,,,,,,,
170,170,"2017/03/03 8:50:35 AM GMT+4,19,Female,10000,Student,Station,2000,rarely (once two week/or a month),Environment,Music,Capital,""Busy(student life, work)"",Hang outs with friends",,,,,,,,,,,,
171,171,"2017/03/03 9:08:33 AM GMT+4,20,Female,0,Student,Station,0,Several times in a month,Environment,Music,Capital,""Busy(student life, work)"",Hang outs with friends",,,,,,,,,,,,
172,172,"2017/03/03 8:59:05 PM GMT+4,20,Female,80000,Student + working,Tom Collins,5000,rarely (once two week/or a month),Environment,Music,Capital,""Busy(student life, work)"",Hang outs with friends",,,,,,,,,,,,
173,173,"2017/03/04 3:32:37 AM GMT+4,19,Male,0,Student,Fiction,5500,Several times a week,Pricing,Music,Capital,""Rock, punk"",Hang outs with friends",,,,,,,,,,,,
174,174,"2017/03/05 9:45:11 PM GMT+4,22,Female,120000,Student + working,Beatles,5000,Several times in a month,Environment,Music,Capital,""Busy(student life, work)"",Hang outs with friends",,,,,,,,,,,,
